transaction_id,price,transfer_date,sale_year,sale_month,postcode,postcode_norm,property_type,old_new,duration,paon,saon,street,locality,town_city,district,county,ppd_category_type,record_status,ladcd,lat_postcode,lon_postcode,uprn,lat_rooftop,lon_rooftop,os_match_score,os_match_type,epc_current_rating,epc_current_score,epc_potential_rating,epc_potential_score,epc_floor_area_m2,build_bucket,build_bucket_confidence,build_bucket_source,uprn_addr,uprn_reshare,uprn_final,epc_match_method,uprn_lat,uprn_lon,uprn_n,epc_floor_area_m2_from_epc,epc_lodgement_date_from_epc
{C6209F5F-3986-295E-E053-6C04A8C0DDCC},190000,2021-03-15,2021,3,M33 7AR,M337AR,T,N,F,18,,DANE ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430922,-2.317727,,,,,,,,,,,,,,100011686147,100011686147,100011686147,exact_street,53.4309218,-2.3177266,100011686147,50.0,2020-10-01
{D707E535-3C57-0AD9-E053-6B04A8C067CC},205000,2021-06-14,2021,6,M33 7AS,M337AS,T,N,F,2,,DALTON STREET,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430716,-2.317409,,,,,,,,,,,,,,100011686123,100011686123,100011686123,exact_street,53.4308506,-2.3174702,100011686123,52.0,2021-04-26
{F87E72F8-E7DD-176C-E053-6B04A8C0D2BE},340000,2022-11-18,2022,11,M33 7AS,M337AS,S,N,F,14,,DALTON STREET,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430716,-2.317409,,,,,,,,,,,,,,100011686135,100011686135,100011686135,exact_street,53.4305805,-2.3176337,100011686135,72.0,2022-05-25
{0E082196-C080-5C09-E063-4704A8C0A10E},326500,2023-11-20,2023,11,M33 7AU,M337AU,S,N,L,40,,WOLSELEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430050,-2.317630,,,,,,,,,,,,,,100011701769,100011701769,100011701769,exact_street,53.4305345,-2.3180397,100011701769,74.0,2023-04-28
{3DCCB7C9-E746-5B9D-E063-4704A8C0331E},250000,2025-08-07,2025,8,M33 7AS,M337AS,T,N,F,5,,DALTON STREET,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430716,-2.317409,,,,,,,,,,,,,,100011686126,,100011686126,exact_street,53.4307975,-2.3171537,100011686126,60.0,2024-09-16
{237B17FE-3106-22AC-E063-4804A8C0EA3A},351000,2023-03-27,2023,3,M33 7AU,M337AU,S,N,F,83,,WOLSELEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430050,-2.317630,,,,,,,,,,,,,,100011701793,100011701793,100011701793,exact_street,53.4303358,-2.3183995,100011701793,70.0,2022-08-10
{38EDC0C3-15F3-0F63-E063-4704A8C00424},385000,2025-01-15,2025,1,M33 7AU,M337AU,T,N,F,77,,WOLSELEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430050,-2.317630,,,,,,,,,,,,,,100011701790,,100011701790,exact_street,53.4302287,-2.3181127,100011701790,85.0,2022-01-12
{44F406B6-62B2-1095-E063-4704A8C048D4},410000,2025-10-30,2025,10,M33 7BY,M337BY,T,N,F,39,,DANE ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.431232,-2.316119,,,,,,,,,,,,,,100011686158,,100011686158,exact_street,53.4312749,-2.316781,100011686158,98.0,2025-07-08
{36A61A94-8A9A-DEF2-E063-4704A8C046AE},275000,2025-04-30,2025,4,M33 7AT,M337AT,T,N,F,4,,WOLSELEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430404,-2.316278,,,,,,,,,,,,,,100011701733,,100011701733,exact_street,53.4306551,-2.316641,100011701733,73.0,2022-09-08
{31C68072-0A68-FEE3-E063-4804A8C04F37},305000,2023-08-31,2023,8,M33 7AT,M337AT,T,N,F,10,,WOLSELEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430404,-2.316278,,,,,,,,,,,,,,100011701739,,100011701739,exact_street,53.4305292,-2.31664,100011701739,77.0,2023-02-14
{2131FCF5-CC00-86E8-E063-4804A8C0372B},297450,2024-03-15,2024,3,M33 7AU,M337AU,T,N,L,30,,WOLSELEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430050,-2.317630,,,,,,,,,,,,,,100011701759,100011701759,100011701759,exact_street,53.4302043,-2.3171493,100011701759,71.0,2023-02-11
